Identifier,languageCode,countryCode,site,CompetitorModelNumber,curbAdapter,phase,alliedMatchId,GEAModelNumber,associatedProductId
d4f4da31-8861-4398-9ab7-31a8ef85bd3b,en,US,91b8f8a911bff655d08192b7e34f37d1,ZU-12N,,,,ZGD150S5,4
f5c134cf-6f9d-4f00-9b3e-8dc8fcca8c37,en,US,91b8f8a911bff655d08192b7e34f37d1,ZU-10N,,,,ZGD120S5,4
afbb0065-678c-4679-98f6-e5a1af7a8932,en,US,91b8f8a911bff655d08192b7e34f37d1,ZU-07N,,,,ZGD092S5,4
52d27ca4-9572-455e-b76f-0d9a8a9391bd,en,US,91b8f8a911bff655d08192b7e34f37d1,ZU-08N,,,,ZGD102S5,4
45173bc4-8065-485d-95e0-e9dea596ffc8,en,US,91b8f8a911bff655d08192b7e34f37d1,RRNL-B060,,,,ZGD060S5,4
0e3dc416-ce09-4c0a-bcd9-22b8c0fbfa3d,en,US,91b8f8a911bff655d08192b7e34f37d1,RRNL-B048,,,,ZGD048S5,4
ececbeef-3cea-427c-b83a-cc9e7ecb9579,en,US,91b8f8a911bff655d08192b7e34f37d1,RRNL-B036,,,,ZGD036S5,4
81c3bd83-2a5f-4ba7-91f5-8f0ca3b77391,en,US,91b8f8a911bff655d08192b7e34f37d1,THC063A,,,,ZCD060S,4
d12b9a4ebb9c703205e3144c988cecf2,en,US,91b8f8a911bff655d08192b7e34f37d1,ZGB150S4,no Transition Curb needed,,,ZGD150S5,4
14cfa109dda8eea4e45844ae9fdbd89d,en,US,91b8f8a911bff655d08192b7e34f37d1,ZGB120S4,no Transition Curb needed,,,ZGD120S5,4
635156c76dbd3e646ffd1936665cae93,en,US,91b8f8a911bff655d08192b7e34f37d1,ZGB102S4,no Transition Curb needed,,,ZGD102S5,4
8ed7cd9b679b3b0c02b9fc7ee72fa272,en,US,91b8f8a911bff655d08192b7e34f37d1,ZGB074S4,no Transition Curb needed,,,ZGD074S5,4
66bb98532d3b04c8c4c9abeb5a2d8f1d,en,US,91b8f8a911bff655d08192b7e34f37d1,ZGB060S4,no Transition Curb needed,,,ZGD060S5,4
52d59f3ef53b4dc020eadcc98360e449,en,US,91b8f8a911bff655d08192b7e34f37d1,ZGB048S4,no Transition Curb needed,,,ZGD048S5,4
bbecb9bec4b09f64822fc89fb06ccab9,en,US,91b8f8a911bff655d08192b7e34f37d1,ZGB036S4,no Transition Curb needed,,,ZGD036S5,4
5a2e1e78ed3c896ffcd10ad183651336,en,US,91b8f8a911bff655d08192b7e34f37d1,ZGA120S4,no Transition Curb needed,,,ZGD120S5,4
99886f151d60337e08d34ebc0272d148,en,US,91b8f8a911bff655d08192b7e34f37d1,ZGA102S4,no Transition Curb needed,,,ZGD102S5,4
e6b3be25cd88705ea7f010140f5c7f7d,en,US,91b8f8a911bff655d08192b7e34f37d1,ZGA060S4,no Transition Curb needed,,,ZGD060S5,4
b0d6c383a50bc690b01f82acd26b01bc,en,US,91b8f8a911bff655d08192b7e34f37d1,ZGA048S4,no Transition Curb needed,,,ZGD048S5,4
d9c4c362ae83a7003a07dc9fcb9bc9ab,en,US,91b8f8a911bff655d08192b7e34f37d1,ZGA036S4,no Transition Curb needed,,,ZGD036S5,4
ad9ccd94306d4acc2936446c4a515c8d,en,US,91b8f8a911bff655d08192b7e34f37d1,48TCED08A1A6,,,65,ZGD092S5,4
887f4af573518a5b613523fc23ab58da,en,US,91b8f8a911bff655d08192b7e34f37d1,48TCED08A1A5,,,65,ZGD092S5,4
598fa1af4ff95d91b3fab8dcdb9df929,en,US,91b8f8a911bff655d08192b7e34f37d1,48TCED09,no Transition Curb needed,,66,ZGD102S5,4
d3bc621d840b8d5a15220761ab844914,en,US,91b8f8a911bff655d08192b7e34f37d1,48TCED09A1A1,,,66,ZGD102S5,4
00fd0b3e77b29b904d1d6b1cf372dc74,en,US,91b8f8a911bff655d08192b7e34f37d1,48TCED09A1A5,,,66,ZGD102S5,4
3124cf88ec42ebfad5a31b57d6480ec4,en,US,91b8f8a911bff655d08192b7e34f37d1,48TCFA07,no Transition Curb needed,,,ZGD074S5,4
de605595aa6124fd40401781357df235,en,US,91b8f8a911bff655d08192b7e34f37d1,ZJ048N,10L32,,,ZGD048S5,4
f451a532840960195ecceccfec4b81a7,en,US,91b8f8a911bff655d08192b7e34f37d1,ZS-03N,10L32,,61,ZGD036S5,4
ce29261ea00f64016dd07d6902d82210,en,US,91b8f8a911bff655d08192b7e34f37d1,48TCFA06,no Transition Curb needed,,,ZGD060S5,4
e8ee1c75983eabda20047af58c503b13,en,US,91b8f8a911bff655d08192b7e34f37d1,48TCDD12A1A6,no Transition Curb needed,,67,ZGD120S5,4
3247ea9008af9d305b9a0ff43399f596,en,US,91b8f8a911bff655d08192b7e34f37d1,48TCDD12A1A5,no Transition Curb needed,,67,ZGD120S5,4
bf336e396cb8f5e293bfacb4f310f23a,en,US,91b8f8a911bff655d08192b7e34f37d1,48TCDD12A1A1,no Transition Curb needed,,67,ZGD120S5,4
b2704cc85f93bfcba031f6670b6a4c9b,en,US,91b8f8a911bff655d08192b7e34f37d1,48TCDD14,no Transition Curb needed,,68,ZGD150S5,4
dccd4bd43878aeece5a3a2d328f9a4ba,en,US,91b8f8a911bff655d08192b7e34f37d1,48TCDD12,no Transition Curb needed,,67,ZGD120S5,4
5c5f81cf39736e6d2e047e7c656c5547,en,US,91b8f8a911bff655d08192b7e34f37d1,48TCDD08,no Transition Curb needed,,65,ZGD092S5,4
ee08276a108f1f71a297eb79440f0488,en,US,91b8f8a911bff655d08192b7e34f37d1,48TCDD09,no Transition Curb needed,,66,ZGD102S5,4
f5d5e95ec0e71991e2ea04f351c20413,en,US,91b8f8a911bff655d08192b7e34f37d1,WSC120E,,,,ZHD120S5,4
c05c435106390170dd477ee8cc2af92f,en,US,91b8f8a911bff655d08192b7e34f37d1,ZE060H,10L32,,,ZGD060S5,4
f30e2e494a39219472c880e0379a97be,en,US,91b8f8a911bff655d08192b7e34f37d1,ZE048H,10L32,,,ZGD048S5,4
