site,title,curbAdapter,phase,alliedMatchId,alliedModelNumber,associatedProductId
91b8f8a911bff655d08192b7e34f37d1,ZGA150S4,no Transition Curb needed,,,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZU-12N,,,,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZU-10N,,,,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZU-07N,,,,ZGD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZU-08N,,,,ZGD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZGB150S4,no Transition Curb needed,,,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZGB120S4,no Transition Curb needed,,,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZGB102S4,no Transition Curb needed,,,ZGD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZGB074S4,no Transition Curb needed,,,ZGD074S5,4
91b8f8a911bff655d08192b7e34f37d1,ZGB060S4,no Transition Curb needed,,,ZGD060S5,4
91b8f8a911bff655d08192b7e34f37d1,ZGB048S4,no Transition Curb needed,,,ZGD048S5,4
91b8f8a911bff655d08192b7e34f37d1,ZGB036S4,no Transition Curb needed,,,ZGD036S5,4
91b8f8a911bff655d08192b7e34f37d1,ZGA120S4,no Transition Curb needed,,,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZGA102S4,no Transition Curb needed,,,ZGD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZGA060S4,no Transition Curb needed,,,ZGD060S5,4
91b8f8a911bff655d08192b7e34f37d1,ZGA048S4,no Transition Curb needed,,,ZGD048S5,4
91b8f8a911bff655d08192b7e34f37d1,ZGA036S4,no Transition Curb needed,,,ZGD036S5,4
91b8f8a911bff655d08192b7e34f37d1,ZJ048N,10L32,,,ZGD048S5,4
91b8f8a911bff655d08192b7e34f37d1,ZS-03N,10L32,,61,ZGD036S5,4
91b8f8a911bff655d08192b7e34f37d1,ZE060H,10L32,,,ZGD060S5,4
91b8f8a911bff655d08192b7e34f37d1,ZE048H,10L32,,,ZGD048S5,4
91b8f8a911bff655d08192b7e34f37d1,ZE036H,10L32,,,ZGD036S5,4
91b8f8a911bff655d08192b7e34f37d1,ZS-10N,,,,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZS-07N,,,31,ZGD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZS-12N,,,,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZW-10S,,,,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,RHPDZT120A,,,,ZHD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE14T,no Transition Curb needed,,60,ZCD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZF150C2,,,60,ZCD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZF150C4,,,60,ZCD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZJ150C2,,,60,ZCD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZF150C5,,,60,ZCD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZH150C2,,,60,ZCD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZJ150C4,,,60,ZCD150S5,4
